Player Name,Position,Minutes,Touches,Shots,Progressive Carries,Interceptions,fThird Passes,Successful fThird Passes,Crosses,Successful Crosses,Ground Duels,gDuels Won
Luke Woolfenden,DEF,1186,702,1,61,4,130,104,31,4,72,35
Omari Hutchinson,MID,2590,1399,45,39,21,147,126,6,1,95,47
Sam Morsy,MID,2753,1764,13,29,6,61,43,8,2,78,28
Sam Szmodics,FWD,1001,347,21,150,21,283,255,3,0,135,71
Bilal El Khannouss,MID,2193,1359,30,82,19,224,170,1,0,176,94
Boubakary Soumaré,MID,2170,1523,7,120,4,287,207,53,6,165,84
Caleb Okoli,DEF,1122,828,4,226,13,416,363,73,15,142,84
Conor Coady,DEF,1713,1226,2,56,9,69,36,0,0,32,21
Facundo Buonanotte,MID,1513,988,36,108,32,215,179,4,0,190,96
Harry Winks,MID,1540,1194,10,157,6,290,227,47,14,140,61
James Justin,DEF,2920,2033,25,147,12,500,398,36,9,238,128
Jamie Vardy,FWD,2839,631,58,96,56,124,94,1,0,99,51
Jannik Vestergaard,DEF,1395,1114,3,167,27,217,120,5,0,81,56
Luke Thomas,DEF,1112,799,5,81,19,64,36,0,0,19,11
Oliver Skipp,MID,1120,643,5,105,8,211,144,7,0,164,53
Stephy Mavididi,MID,1613,957,26,248,30,346,252,10,1,100,45
Victor Kristiansen,DEF,2489,1682,3,325,56,506,395,1,0,87,54
Wilfred Ndidi,MID,2336,1489,22,95,22,284,197,23,3,237,102
Wout Faes,DEF,2812,1948,12,170,11,236,143,69,14,224,104
Alexis Mac Allister,MID,2607,1954,38,209,11,363,295,15,9,218,107
Andy Robertson,DEF,2492,2129,15,206,6,350,250,76,13,194,91
Cody Gakpo,FWD,1938,971,57,274,11,655,505,77,20,258,145
Curtis Jones,MID,1710,1367,34,76,18,213,165,16,3,158,75
Darwin Núñez,FWD,1118,412,34,69,5,180,137,33,6,102,43
Diogo Jota,FWD,1194,536,51,170,21,266,206,25,9,198,108
Dominik Szoboszlai,MID,2496,1661,67,98,6,226,168,46,11,126,55
Ibrahima Konaté,DEF,2565,2221,19,124,48,400,306,7,4,349,196
Luis Díaz,MID,2410,1315,71,43,21,102,67,15,3,87,44
Mohamed Salah,MID,3377,1864,130,231,4,274,232,81,21,435,194
Ryan Gravenberch,MID,3168,2462,20,62,26,231,175,8,0,191,97
Trent Alexander-Arnold,DEF,2377,2321,45,93,29,170,122,10,1,104,61
Virgil van Dijk,DEF,3330,3347,27,105,44,327,229,97,28,171,103
Bernardo Silva,MID,2667,2163,32,46,4,115,53,4,1,146,56
Erling Haaland,FWD,2741,696,108,108,24,119,78,9,1,70,41
Ilkay Gündogan,MID,2227,1963,27,321,41,321,195,6,0,105,65
Jérémy Doku,MID,1513,1209,29,225,34,429,263,13,3,80,47
Josko Gvardiol,DEF,3279,3194,40,164,22,421,350,28,4,198,111
Kevin De Bruyne,MID,1704,1425,57,121,5,261,163,38,5,226,107
Manuel Akanji,DEF,2014,1900,15,96,27,213,171,7,3,241,128
Mateo Kovacic,MID,2202,2206,45,219,28,404,322,40,7,362,193
Matheus Nunes,MID,1673,1479,9,67,2,102,78,24,5,115,47
Omar Marmoush,FWD,1182,561,49,223,11,296,228,76,16,315,128
Phil Foden,MID,1779,1217,54,105,15,106,60,1,1,32,19
Rico Lewis,DEF,1891,1559,10,100,40,273,228,4,2,140,59
Rúben Dias,DEF,2269,2514,21,242,60,540,444,7,4,284,158
Savinho,FWD,1770,1208,55,127,21,191,118,7,3,90,48
Alejandro Garnacho,MID,2195,1276,84,241,13,366,284,55,8,238,99
Amad Diallo,MID,1901,1319,47,87,26,178,143,2,2,155,98
Bruno Fernandes,MID,3024,2781,96,254,29,705,532,18,6,426,224
Casemiro,MID,1497,1298,32,64,19,93,43,5,1,90,52
Christian Eriksen,MID,1059,865,15,85,49,397,285,17,5,211,111
Diogo Dalot,DEF,2813,2063,25,71,8,165,108,8,2,116,39
Harry Maguire,DEF,1757,1356,15,56,7,207,149,12,2,84,51
Joshua Zirkzee,FWD,1392,644,28,105,1,152,103,15,2,175,80
Kobbie Mainoo,MID,1656,1150,15,143,40,151,84,2,1,89,58
Leny Yoro,DEF,1162,905,5,109,3,192,138,25,2,116,47
Lisandro Martínez,DEF,1754,1555,17,104,24,186,152,11,3,150,77
Manuel Ugarte,MID,1789,1252,19,143,28,421,346,31,5,190,109
Matthijs de Ligt,DEF,2128,1638,18,120,23,196,147,40,5,159,95
Noussair Mazraoui,DEF,2848,2236,13,199,33,317,244,59,13,222,123
Rasmus Højlund,FWD,2013,586,32,225,26,405,330,63,14,356,198
Alexander Isak,FWD,2769,1131,99,132,22,517,435,20,2,303,151
Anthony Gordon,MID,2444,1401,59,305,11,506,383,58,8,392,160
Bruno Guimarães,MID,3282,2433,45,267,14,593,421,100,23,276,144
Dan Burn,DEF,3330,2421,23,155,11,244,152,87,17,196,92
Fabian Schär,DEF,2937,2360,40,119,12,174,121,12,3,286,116
Harvey Barnes,MID,1755,880,63,91,15,193,154,47,8,110,51
Jacob Murphy,MID,2379,1364,43,134,8,273,224,12,2,141,83
Joe Willock,MID,1074,582,18,52,6,153,101,4,0,104,36
Joelinton,MID,2404,1478,45,203,25,449,342,28,6,402,193
Kieran Trippier,DEF,1308,1427,4,110,19,229,189,7,2,192,90
Lewis Hall,DEF,2192,1907,11,134,2,171,93,5,1,279,99
Sandro Tonali,MID,2631,1923,35,97,15,61,33,0,0,81,46
Tino Livramento,DEF,2842,2081,6,36,20,284,172,14,2,158,75
Anthony Elanga,MID,2507,1216,44,209,7,429,331,76,21,271,141
Callum Hudson-Odoi,MID,2201,1116,37,332,20,277,232,8,1,154,100
Chris Wood,FWD,2976,827,68,55,7,239,189,26,8,55,22
Elliot Anderson,MID,2742,2006,40,128,21,238,176,33,6,153,83
Morgan Gibbs-White,MID,2822,1739,61,234,6,422,296,27,4,380,160
Murillo,DEF,3191,1995,25,102,7,209,191,10,4,111,81
Neco Williams,DEF,2590,1667,37,102,3,183,136,3,1,178,68
Nicolás Domínguez,MID,1970,1276,21,71,27,150,79,0,0,84,57
Nikola Milenkovic,DEF,3330,1434,29,202,34,363,290,23,6,268,165
Ola Aina,DEF,3003,1812,11,33,11,102,70,5,0,80,41
Ryan Yates,MID,1904,1115,33,144,29,381,290,11,4,214,112
Cameron Archer,FWD,1432,451,29,61,14,137,68,0,0,29,21
Flynn Downes,MID,2154,1414,10,191,16,352,281,9,0,71,46
Jack Stephens,DEF,1394,1115,4,69,21,174,121,1,0,94,63
James Bree,DEF,1073,715,4,48,23,202,150,28,5,126,69
Jan Bednarek,DEF,2535,2087,5,494,24,458,332,11,5,126,73
Joe Aribo,MID,2018,1357,17,115,12,171,123,32,7,230,111
Kamaldeen Sulemana,MID,1406,661,29,276,14,453,345,75,11,284,120
Kyle Walker-Peters,DEF,2922,2149,20,172,9,457,333,75,15,251,115
Lesley Ugochukwu,MID,1664,931,10,266,33,306,211,13,3,137,73
Mateus Fernandes,MID,2919,1918,42,277,17,432,301,59,10,352,170
Paul Onuachu,FWD,1044,494,34,219,9,366,315,108,34,197,89
Ryan Manning,DEF,1468,1027,8,397,20,522,459,3,0,47,27
Taylor Harwood-Bellis,DEF,2828,2522,20,244,35,589,472,12,2,244,144
Tyler Dibling,FWD,1874,1004,28,158,19,306,204,105,19,222,132
Yukinari Sugawara,DEF,1555,1095,14,110,18,203,162,2,1,146,74
Archie Gray,MID,1743,1329,1,94,25,276,167,56,15,147,86
Ben Davies,DEF,1330,1194,5,50,13,93,65,22,2,130,52
Brennan Johnson,MID,2179,916,54,245,26,864,647,85,11,307,151
Cristian Romero,DEF,1420,1418,16,124,7,344,310,8,1,146,76
Dejan Kulusevski,MID,2391,1424,47,162,22,307,261,19,4,204,126
Destiny Udogie,DEF,1931,1468,5,195,37,366,295,66,12,205,104
Djed Spence,DEF,1790,1525,10,52,7,155,86,6,1,113,41
Dominic Solanke,FWD,2206,750,60,163,9,475,385,24,6,194,83
James Maddison,MID,1816,1583,39,128,41,263,133,1,0,153,96
Lucas Bergvall,MID,1206,959,12,107,25,286,219,82,23,155,88
Micky van de Ven,DEF,1018,916,6,55,15,241,181,13,4,169,77
Pape Sarr,MID,1913,1341,34,281,10,226,167,3,0,64,42
Pedro Porro,DEF,2608,2333,39,179,37,359,292,80,22,196,104
Radu Dragusin,DEF,1251,984,5,67,2,125,91,8,3,115,40
Rodrigo Bentancur,MID,1653,1362,22,17,5,68,40,1,0,91,47
Son Heung-Min,MID,2116,1217,57,177,11,235,178,62,10,214,87
Yves Bissouma,MID,1405,1087,11,54,15,121,88,18,4,89,39
Aaron Wan-Bissaka,DEF,3154,2388,16,251,66,499,382,76,16,259,160
Carlos Soler,MID,1404,842,25,59,14,286,193,20,8,164,102
Edson Álvarez,MID,1781,1287,12,189,31,450,344,35,2,375,185
Guido Rodríguez,MID,1155,735,8,132,40,130,73,3,0,70,43
James Ward-Prowse,MID,1440,1088,15,57,5,137,80,11,1,108,52
Jarrod Bowen,MID,2979,1411,87,112,26,101,60,3,0,106,62
Jean-Clair Todibo,DEF,1831,1347,5,93,2,199,121,26,5,172,65
Konstantinos Mavropanos,DEF,2037,1575,18,82,12,179,110,14,4,83,38
Lucas Paquetá,MID,2384,1933,41,193,7,459,378,32,11,292,122
Maximilian Kilman,DEF,3349,2424,13,12,16,50,23,1,0,30,12
Mohammed Kudus,MID,2601,1508,75,214,49,605,494,10,4,345,200
Tomás Soucek,MID,2570,1337,55,119,11,102,70,0,0,43,30
Vladimír Coufal,DEF,1061,769,7,63,10,73,46,46,7,69,33
André,MID,2484,1723,10,118,37,226,191,0,0,235,141
Emmanuel Agbadou,DEF,1411,1201,7,181,13,670,499,45,9,293,144
Jean-Ricner Bellegarde,MID,1681,924,22,65,42,271,169,12,5,147,77
João Gomes,DEF,2987,2154,35,125,23,376,292,16,3,263,107
Jørgen Strand Larsen,FWD,2599,793,54,166,14,404,317,53,12,222,92
Mario Lemina,MID,1363,854,18,23,6,65,38,10,3,82,37
Marshall Munetsi,MID,1079,392,22,271,6,757,612,35,6,172,67
Matheus Cunha,MID,2600,1749,110,157,15,441,372,40,9,150,73
Matt Doherty,DEF,2113,1578,10,40,13,134,95,14,3,69,36
Nélson Semedo,DEF,2891,1817,18,62,29,293,240,6,2,196,107
Rayan Aït-Nouri,DEF,3127,2315,36,53,13,194,152,18,1,56,27
Santiago Bueno,DEF,1682,1046,6,144,28,325,278,18,7,212,102
Toti Gomes,DEF,2615,2110,7,190,31,673,470,93,23,197,98
